[12/17/2024, 12:02:07 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 12:02:07 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 12:02:07 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 12:02:07 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 12:02:08 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 12:02:08 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 12:02:09 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 12:02:23 AM] [INFO] [ProjectsPortal_Api] Server is dasd running on: localhost:7070
[12/17/2024, 12:02:42 AM] [INFO] [ProjectsPortal_Api] Server is dasd running on: localhost:7070
[12/16/2024, 10:03:41 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 10:03:41 PM] [INFO] [ProjectsPortal_Api] Server is dasd running on: localhost:7070
[12/16/2024, 10:03:41 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 10:03:41 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 10:03:41 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 10:03:41 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 10:03:41 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 10:03:41 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 10:03:42 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 10:03:42 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 10:03:42 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 10:03:43 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 10:03:43 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 10:03:44 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 10:03:44 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 10:04:10 PM] [INFO] [ProjectsPortal_Api] Server is dasd running on: localhost:7070
[12/16/2024, 10:23:25 PM] [INFO] [ProjectsPortal_Api] Server is dasd running on: localhost:7070
[12/16/2024, 10:31:02 PM] [INFO] [ProjectsPortal_Api] Server is dasd running on: localhost:7070
[12/17/2024, 1:11:49 AM] [INFO] [ProjectsPortal_Api] Server is running on: localhost:7070
[12/17/2024, 1:11:49 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 1:11:49 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 1:11:49 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 1:11:49 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 1:11:49 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 1:11:49 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 1:11:50 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 1:11:50 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 1:11:50 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 1:11:51 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 1:11:51 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 1:11:52 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/16/2024, 11:16:20 PM] [INFO] [ProjectsPortal_Api] Server is running on: localhost:7070
[12/16/2024, 11:19:45 PM] [INFO] [ProjectsPortal_Api] Server is running on: localhost:7070
[12/16/2024, 11:23:35 PM] [INFO] [ProjectsPortal_Api] Server is asd running on: localhost:7070
[12/16/2024, 11:25:43 PM] [INFO] [ProjectsPortal_Api] Server is asd running on: localhost:7070
[12/17/2024, 7:43:23 PM] [INFO] [ProjectsPortal_Api] Server is asd running on: localhost:7070
[12/17/2024, 7:43:23 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:43:23 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:43:23 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:43:23 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:43:23 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:43:24 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:43:24 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:43:24 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:50:21 PM] [INFO] [ProjectsPortal_Api] Server is asd running on: localhost:7070
[12/17/2024, 7:50:39 PM] [INFO] [ProjectsPortal_Api] Server is asd running on: localhost:7070
[12/17/2024, 5:52:29 PM] [INFO] [ProjectsPortal_Api] Server is asd running on: localhost:7070
[12/17/2024, 5:53:27 PM] [INFO] [ProjectsPortal_Api] Server is asd running on: localhost:7070
[12/17/2024, 7:57:01 PM] [INFO] [ProjectsPortal_Api] Server is asd running on: localhost:7070
[12/17/2024, 7:57:01 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:57:01 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:57:01 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:57:01 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:57:01 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:57:01 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:57:02 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:57:02 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:57:02 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:57:03 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:57:03 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:57:04 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:57:04 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:57:05 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:57:05 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:57:06 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:57:06 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:57:07 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:57:07 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 7:57:27 PM] [INFO] [ProjectsPortal_Api] Server is asd running on: localhost:7070
[12/17/2024, 7:59:10 PM] [ERROR] [PG_CONNECT] connect ECONNREFUSED 1.1.1.1:5432
[12/17/2024, 7:59:10 PM] [ERROR] [GET_PROJECT_DATA_FUNC] Cannot read properties of null (reading 'query')
[12/17/2024, 7:59:10 PM] [ERROR] [PG_QUERY_FUNC] Cannot read properties of null (reading 'query')
[12/17/2024, 7:59:56 PM] [ERROR] [PG_CONNECT] connect ECONNREFUSED 1.1.1.1:5432
[12/17/2024, 7:59:56 PM] [ERROR] [PG_QUERY_FUNC] Cannot read properties of null (reading 'query')
[12/17/2024, 7:59:56 PM] [ERROR] [GET_PROJECTS_FUNC] Cannot read properties of null (reading 'query')
[12/17/2024, 8:00:09 PM] [ERROR] [PG_CONNECT] connect ECONNREFUSED 1.1.1.1:5432
[12/17/2024, 8:00:09 PM] [ERROR] [PG_QUERY_FUNC] Cannot read properties of null (reading 'query')
[12/17/2024, 8:00:09 PM] [ERROR] [GET_PROJECTS_FUNC] Cannot read properties of null (reading 'query')
[12/17/2024, 8:00:11 PM] [ERROR] [PG_CONNECT] connect ECONNREFUSED 1.1.1.1:5432
[12/17/2024, 8:00:11 PM] [ERROR] [PG_QUERY_FUNC] Cannot read properties of null (reading 'query')
[12/17/2024, 8:00:11 PM] [ERROR] [GET_PROJECTS_FUNC] Cannot read properties of null (reading 'query')
[12/17/2024, 8:00:11 PM] [ERROR] [PG_CONNECT] connect ECONNREFUSED 1.1.1.1:5432
[12/17/2024, 8:00:11 PM] [ERROR] [PG_QUERY_FUNC] Cannot read properties of null (reading 'query')
[12/17/2024, 8:00:11 PM] [ERROR] [GET_PROJECTS_FUNC] Cannot read properties of null (reading 'query')
[12/17/2024, 8:00:11 PM] [ERROR] [PG_CONNECT] connect ECONNREFUSED 1.1.1.1:5432
[12/17/2024, 8:00:11 PM] [ERROR] [GET_PROJECTS_FUNC] Cannot read properties of null (reading 'query')
[12/17/2024, 8:00:11 PM] [ERROR] [PG_QUERY_FUNC] Cannot read properties of null (reading 'query')
[12/17/2024, 8:00:18 PM] [ERROR] [PG_CONNECT] connect ECONNREFUSED 1.1.1.1:5432
[12/17/2024, 8:00:18 PM] [ERROR] [GET_PROJECTS_FUNC] Cannot read properties of null (reading 'query')
[12/17/2024, 8:00:18 PM] [ERROR] [PG_QUERY_FUNC] Cannot read properties of null (reading 'query')
[12/17/2024, 8:00:20 PM] [ERROR] [PG_CONNECT] connect ECONNREFUSED 1.1.1.1:5432
[12/17/2024, 8:00:20 PM] [ERROR] [PG_QUERY_FUNC] Cannot read properties of null (reading 'query')
[12/17/2024, 8:00:20 PM] [ERROR] [GET_PROJECTS_FUNC] Cannot read properties of null (reading 'query')
[12/17/2024, 8:00:20 PM] [ERROR] [PG_CONNECT] connect ECONNREFUSED 1.1.1.1:5432
[12/17/2024, 8:00:20 PM] [ERROR] [PG_QUERY_FUNC] Cannot read properties of null (reading 'query')
[12/17/2024, 8:00:20 PM] [ERROR] [GET_PROJECTS_FUNC] Cannot read properties of null (reading 'query')
